url,actors,area,audience,director,genre,rate,title,year,...
https://movie.douban.com/subject/25853697/,"[""内田雄马"", ""铃木实里"", ""濑户麻沙美"", ""小清水亚美"", ""安野希世乃"", ""东山奈央"", ""西田望见"", ""内山昂辉"", ""石冢运升"", ""大桥贤一郎"", ""木村良平"", ""川田绅司"", ""石川界人"", ""森川智之"", ""峰岸佳"", ""寺杣昌纪"", ""远藤大智"", ""寺崎裕香"", ""拝真之介""]",日本,866,"[""河森正治"", ""安田贤司""]","[""科幻"", ""动画""]",6.1,超时空要塞DELTA マクロスΔ（デルタ）,(2016),{}
https://movie.douban.com/subject/3227410/,"[""约翰尼·德普"", ""佩内洛普·克鲁兹"", ""杰弗里·拉什"", ""伊恩·麦柯肖恩"", ""山姆·克拉弗林"", ""阿斯特丽德·伯格斯-弗瑞斯贝"", ""凯文·麦克纳利"", ""斯蒂芬·格拉汉姆"", ""凯斯·理查德兹"", ""理查德·格雷弗斯"", ""嘉玛·沃德"", ""朱迪·丹奇""]",美国,187298,"[""罗伯·马歇尔""]","[""动作"", ""奇幻"", ""冒险""]",7.5,加勒比海盗4：惊涛怪浪 Pirates of the Caribbean: On Stranger Tides,(2011),{}
https://movie.douban.com/subject/1291568/,"[""笠智众"", ""原节子"", ""杉村春子"", ""东山千荣子"", ""山村聪"", ""香川京子""]",日本,43044,"[""小津安二郎""]","[""剧情"", ""家庭""]",9.2,东京物语 東京物語,(1953),{}
https://movie.douban.com/subject/26779371/,[],英国,80,[],"[""纪录片""]",8.0,地平线系列：太阳系的结局 Horizon: The End of the Solar System,(2016),{}
https://movie.douban.com/subject/26615511/,"[""神木隆之介"", ""佐佐木藏之介"", ""伊藤英明"", ""加濑亮"", ""有村架纯"", ""丰川悦司"", ""仓科加奈"", ""清原果耶"", ""前田吟"", ""高桥一生"", ""中村伦也""]",日本,,"[""大友启史""]","[""剧情""]",,3月的狮子 前篇 3月のライオン 前編,(2017),{}
https://movie.douban.com/subject/26844881/,"[""冯小刚"", ""余文乐""]",中国大陆,165,"[""冯小刚""]","[""短片""]",4.7,手机芯战,(2016),{}
https://movie.douban.com/subject/26785322/,"[""崔志佳"", ""潘斌龙"", ""肖旭""]",中国大陆,171,"[""崔志佳""]",[],5.0,爆笑先森,(2016),{}
https://movie.douban.com/subject/1302176/,"[""莱斯利·尼尔森"", ""普瑞希拉·普雷斯利"", ""里卡多·蒙特尔班"", ""乔治·肯尼迪"", ""O·J·辛普森"", ""Susan Beaubian"", ""Nancy Marchand""]",美国,8642,"[""大卫·扎克""]","[""喜剧"", ""动作"", ""爱情"", ""犯罪""]",7.6,白头神探 The Naked Gun: From the Files of Police Squad!,(1988),{}
https://movie.douban.com/subject/26351872/,"[""迈克尔·温斯顿"", ""史蒂芬·曼甘"", ""戴安娜·奎克"", ""蒂姆·麦克纳尼"", ""诺亚·尤佩"", ""杰克博·布莱尔"", ""路易斯·德拉米尔""]",美国,33,"[""爱德华·巴瑟杰特"", ""斯蒂芬·霍普金斯"", ""罗伯特·里伯曼"", ""丹尼尔·奥哈拉"", ""杰夫·兰弗洛""]","[""剧情"", ""悬疑""]",7.3,胡迪尼与道尔 Houdini & Doyle,(2016),{}
https://movie.douban.com/subject/26754736/,"[""上田丽奈"", ""东山奈央"", ""内山夕实"", ""山口立花子""]",日本,35,"[""西村纯二""]","[""动画""]",5.5,爆音少女！！OAD ばくおん!! OAD,(2016),{}
https://movie.douban.com/subject/26295986/,"[""夏菁"", ""陶慧敏"", ""傅艺伟"", ""刘晓庆"", ""林默予"", ""章杰"", ""王敏宜"", ""宫景华"", ""邢红"", ""曾丹"", ""周志宇"", ""石冼"", ""马丽娜"", ""姬麒麟"", ""李玲玉"", ""凌元"", ""张蕾"", ""马晓晴"", ""何赛飞""]",中国大陆,102,"[""谢铁骊"", ""赵元""]","[""爱情"", ""家庭"", ""古装""]",8.5,红楼梦 Ⅳ 二尤惨死,(1989),{}
