url,actors,audience,director,genre,rate,title,year,...
https://movie.douban.com/subject/26727284/,"[""六小龄童"", ""徐春妮"", ""罗家英"", ""萧敬腾"", ""张卫健"", ""汪明荃"", ""凤凰传奇"", ""韩磊""]",67,[],"[""喜剧"", ""音乐"", ""歌舞"", ""家庭"", ""脱口秀""]",5.6,2016年北京电视台春节联欢晚会,(2016),{}
https://movie.douban.com/subject/26582787/,"[""韩兆"", ""刘桦"", ""买红妹"", ""曹随风"", ""潘长江"", ""雷牧"", ""殷叶子""]",2600,"[""韩兆""]","[""喜剧""]",4.8,斗地主,(2015),{}
https://movie.douban.com/subject/19908369/,"[""吴秀波"", ""徐洁儿"", ""宁财神""]",782,"[""李蔚然""]","[""喜剧""]",6.1,因情圆缺1：分手速递,(2012),{}
https://movie.douban.com/subject/10573699/,"[""梁家辉"", ""杨颖"", ""彭于晏""]",,"[""冯德伦""]","[""动作""]",,太极3：巅峰在望,(2020),{}
https://movie.douban.com/subject/25857302/,"[""陈浩民"", ""穆婷婷"", ""陈紫函"", ""陆昱霖"", ""周明增"", ""陈威翰"", ""徐申东"", ""刘庭羽"", ""戴春荣"", ""关智斌"", ""陈秀丽"", ""钱璇"", ""刘娜萍"", ""林子聪""]",607,"[""陈美麟"", ""梁国冠""]","[""喜剧"", ""奇幻"", ""古装""]",3.3,天天有喜之人间有爱,(2016),{}
https://movie.douban.com/subject/26843160/,[],,"[""陆思倜"", ""叶治辰""]","[""剧情"", ""动画"", ""短片""]",,心理治疗,(2016),{}
https://movie.douban.com/subject/25917744/,"[""于和伟"", ""祖峰"", ""叶一云"", ""张念骅"", ""张宁江"", ""张延"", ""要武"", ""侯岩松"", ""焦刚"", ""崔奕"", ""李佳璇"", ""万沛鑫"", ""崔宝月"", ""党浩予"", ""李晓峰"", ""赵雷棋"", ""李晔"", ""许歌""]",1358,"[""张睿""]","[""剧情"", ""犯罪""]",7.9,刑警队长,(2015),{}
https://movie.douban.com/subject/26317346/,"[""吴维峰"", ""王林"", ""王雪晶"", ""李赛"", ""刘雅然""]",865,"[""吴维峰""]","[""爱情"", ""同性""]",7.3,有我在这里 I'm Here,(2015),{}
https://movie.douban.com/subject/10807880/,"[""叶渝珠"", ""宋迪进"", ""宋方""]",568,"[""宋方""]","[""剧情""]",6.8,记忆望着我,(2012),{}
https://movie.douban.com/subject/26836576/,"[""朱晓辉"", ""郭绍恒"", ""卢星宇""]",33,"[""刘信义""]","[""剧情"", ""动作""]",5.5,九纹龙史进之扬威华州,(2016),{}
