user,userid,item,itemid,score_all
中国妇女发展基金会,99,吉林省妇女儿童基金会,367,31.89999962
中国妇女发展基金会,99,四川省妇女发展基金会,397,80.5
中国妇女发展基金会,99,天津市妇女儿童发展基金会,419,33.70000076
中国妇女发展基金会,99,宁夏回族自治区妇女儿童发展基金会,433,43
中国妇女发展基金会,99,安徽省儿童少年基金会,449,27.70000076
中国妇女发展基金会,99,广东省妇女儿童基金会,512,37.90000153
中国妇女发展基金会,99,广西妇女儿童发展基金会,570,43.90000153
中国妇女发展基金会,99,新疆妇女儿童发展基金会,608,52
中国妇女发展基金会,99,河北省佛教慈善基金会,687,29.79999924
中国妇女发展基金会,99,河北省妇女儿童发展基金会,689,36.70000076
中国妇女发展基金会,99,河南省儿童希望救助基金会,701,30.70000076
中国妇女发展基金会,99,湖南省妇女儿童发展基金会,826,28.89999962
中国妇女发展基金会,99,甘肃妇女儿童发展基金会,859,49
中国妇女发展基金会,99,贵州省妇女儿童发展基金会,927,54.09999847
中国妇女发展基金会,99,辽宁省妇女儿童基金会,946,37.90000153
中国妇女发展基金会,99,陕西妇女儿童发展基金会,1007,41.79999924
中国妇女发展基金会,99,黑龙江省妇女儿童基金会,1057,31.89999962
中国孔子基金会,100,广西民族教育发展基金会,576,39.70000076
中国宋庆龄基金会,101,东南大学教育基金会,58,33.70000076
中国宋庆龄基金会,101,北京中国地质大学教育基金会,190,24.70000076
中国宋庆龄基金会,101,北京中央民族大学教育基金会,195,27.70000076
中国宋庆龄基金会,101,北京儿童健康基金会,209,30.70000076
中国宋庆龄基金会,101,北京同仁张晓楼眼科公益基金会,219,38.79999924
中国宋庆龄基金会,101,北京成龙慈善基金会,272,24.70000076
中国宋庆龄基金会,101,北京韩红爱心慈善基金会,320,42.70000076
中国宋庆龄基金会,101,宁夏银川大学教育发展基金会,437,34.90000153
中国宋庆龄基金会,101,涟水县慈善基金会,760,24.70000076
中国宋庆龄基金会,101,赣州市青少年发展基金会,941,33.70000076
中国宋庆龄基金会,101,郑州大学教育发展基金会,966,24.70000076
中国宋庆龄基金会,101,陕西省宋庆龄基金会,1010,26.79999924
中国志愿服务基金会,102,云南省青年创业就业基金会,155,33.70000076
中国志愿服务基金会,102,四川省志愿服务基金会,399,42.70000076
中国志愿服务基金会,102,石家庄市志愿服务基金会,871,33.70000076
中国志愿服务基金会,102,长沙市志愿服务基金会,999,40.90000153
中国扶贫基金会,104,上海王正国创伤医学发展基金会,44,24.70000076
中国扶贫基金会,104,上海联劝公益基金会,50,24.70000076
中国扶贫基金会,104,中国儿童少年基金会,83,33.70000076
中国扶贫基金会,104,北京市农发扶贫基金会,247,26.79999924
中国扶贫基金会,104,北京润生农村发展公益基金会,288,30.70000076
中国扶贫基金会,104,北京荷风艺术基金会,311,24.70000076
中国扶贫基金会,104,吉林师范大学助学基金会,364,24.70000076
中国扶贫基金会,104,天津市鹤童老年公益基金会,424,28.89999962
中国扶贫基金会,104,安徽李恩三慈善基金会,446,24.70000076
中国扶贫基金会,104,常州工程职业技术学院教育发展基金会,485,25.29999924
中国扶贫基金会,104,广东省千禾社区公益基金会,501,31.89999962
中国扶贫基金会,104,广东省南方阅读公益基金会,508,23.20000076
